1001,Anjishnu,8.8,9.2,8.5,9,8.9
1002,Aarav,7.6,8.1,7.9,8.5,8
1003,Aditi,9.2,9.4,8.9,9.5,9.1
1004,Akhil,6.5,7.2,6.8,7.4,7
1005,Ananya,8.5,8.7,9,8.8,8.4
1006,Aryan,7.8,8,7.5,8.2,7.9
1007,Avinash,7,7.5,7.2,6.8,7.4
1008,Ayush,8.8,8.5,8.2,9,8.7
1009,Bhavya,9.4,9.6,9.2,9.8,9.5
1010,Chaitanya,7.5,7.8,7.4,8,7.6
1011,Deep,8.2,8.5,8,8.4,8.1
1012,Divya,8.9,9.1,8.7,9.3,9
1013,Esha,7.7,7.9,7.5,8.2,7.8
1014,Gaurav,6.8,7,6.5,7.2,6.9
1015,Harsha,8.4,8.6,8.1,8.8,8.5
1016,Ishaan,9.1,9.3,8.9,9.5,9.2
1017,Janhavi,7.9,8.2,7.8,8.4,8
1018,Kabir,7.3,7.5,7,7.8,7.4
1019,Karan,8.6,8.8,8.4,9,8.7
1020,Kavya,9.5,9.7,9.3,9.8,9.6
1021,Kunal,7.1,7.4,6.9,7.6,7.2
1022,Laksh,8.3,8.5,8.1,8.7,8.4
1023,Manish,7.6,7.8,7.4,8,7.7
1024,Megha,9,9.2,8.8,9.4,9.1
1025,Nakul,6.7,7,6.6,7.2,6.8
1026,Neha,8.5,8.7,8.3,8.9,8.6
1027,Nikhil,8,8.2,7.8,8.4,8.1
1028,Nisha,9.3,9.5,9.1,9.7,9.4
1029,Om,7.4,7.6,7.2,7.8,7.5
1030,Pooja,8.7,8.9,8.5,9.1,8.8
1031,Pranav,7.2,7.5,7,7.7,7.3
1032,Priya,9.6,9.8,9.4,9.9,9.7
1033,Rahul,7.8,8,7.6,8.2,7.9
1034,Riya,8.9,9.1,8.7,9.3,9
1035,Rohan,6.9,7.2,6.8,7.4,7
1036,Sahil,8.4,8.6,8.2,8.8,8.5
1037,Shreya,9.2,9.4,9,9.6,9.3
1038,Sneha,8.1,8.3,7.9,8.5,8.2
1039,Tarun,7.5,7.7,7.3,7.9,7.6
1040,Varun,8.8,9,8.6,9.2,8.9
